IQN,Occupation,Category,Roles,Experience,Gender,Age,Employer,Education
1,4,2,1,3,2,2,2,4
2,4,4,2,2,2,1,2,1
3,1,5,4,3,1,2,2,4
4,1,5,4,4,2,2,2,3
5,4,4,2,3,2,2,3,1
6,3,5,4,9,2,2,4,4
7,4,5,4,2,1,2,2,3
8,4,4,4,4,1,4,4,1
9,1,5,4,4,1,3,4,5
10,4,3,2,2,2,2,2,2
11,4,4,2,3,2,2,3,1
12,2,5,4,2,1,2,2,3
13,4,1,1,2,2,1,1,3
14,5,5,1,2,1,1,2,2
15,4,1,1,2,1,2,2,2
16,4,2,2,2,2,2,2,1
17,4,2,1,1,1,1,1,2
18,4,1,4,4,2,4,4,2
19,4,1,1,4,2,4,4,2
20,4,1,1,1,1,4,4,2
21,3,5,4,3,1,2,2,4
22,3,5,4,2,2,2,1,3
23,3,5,4,3,1,2,2,4
24,3,5,4,4,1,3,2,4
25,4,4,2,4,2,4,4,1
26,4,3,3,4,2,4,2,1
27,4,2,1,2,2,1,2,3
28,4,1,1,2,9,9,9,9
29,4,4,2,2,2,2,2,2
30,4,1,3,4,2,4,4,1
31,4,3,1,4,2,4,4,1
32,4,1,1,4,2,4,2,2
33,1,5,4,3,1,2,2,3
34,4,1,1,3,1,2,3,3
35,4,4,2,4,2,4,4,1
36,4,4,2,4,2,3,4,1
37,1,5,4,3,1,2,3,3
38,1,5,4,3,1,2,2,4
39,4,3,3,3,2,2,3,1
40,3,5,4,3,2,2,2,3
41,4,3,3,4,2,3,2,1
42,4,1,4,4,2,3,2,2
43,4,1,1,1,2,1,1,3
44,4,1,3,4,1,4,4,2
45,4,1,1,4,2,4,3,2
46,4,1,3,4,2,4,4,2
47,4,1,3,2,2,3,3,2
48,4,3,1,4,2,4,4,1
49,4,3,3,4,2,2,4,1
50,1,5,4,4,1,2,3,5
51,1,5,4,4,1,3,1,4
52,4,2,1,4,2,4,4,2
53,4,4,2,5,1,2,2,1
54,3,5,4,4,1,2,2,4
55,3,5,4,3,1,2,1,3
56,3,5,4,2,2,2,2,3
57,3,5,4,3,1,2,2,5
58,4,1,1,4,2,3,4,2
59,1,5,4,4,2,4,4,4
60,4,4,2,2,2,2,2,1
61,4,1,4,4,2,3,4,2
62,4,1,1,4,2,4,4,2
63,4,2,1,3,1,3,4,2
64,4,4,2,2,2,1,2,1
65,4,1,3,4,2,4,4,2
66,4,3,2,3,2,4,3,1
67,4,2,4,4,2,4,1,2
68,4,4,2,4,2,4,2,1
69,3,5,4,3,2,2,1,4
70,3,5,4,4,2,4,4,3
71,4,2,4,4,2,4,3,2
72,1,5,4,4,2,3,4,4
73,1,5,4,3,1,2,3,3
74,1,5,3,4,2,2,1,4
75,1,5,4,4,1,4,4,5
76,3,5,4,2,2,2,2,3
77,3,5,4,3,2,2,2,3
78,4,2,1,2,2,2,2,3
79,4,1,1,2,2,3,2,3
80,3,5,4,4,2,4,4,2
81,1,5,4,3,1,2,2,4
82,1,5,4,3,2,2,2,4
83,1,5,4,4,1,4,4,4
84,1,5,4,3,1,2,2,3
85,4,1,1,4,2,3,4,2
86,1,5,4,2,1,2,2,3
87,1,5,4,4,1,2,2,4
88,3,5,4,3,1,2,2,3
89,4,4,2,2,2,2,2,1
90,4,3,1,4,2,4,4,2
91,3,5,4,2,1,1,2,3
92,3,5,4,2,2,1,2,3
93,4,1,4,4,2,3,4,3
94,4,1,4,3,2,3,2,2
95,1,5,4,4,2,2,3,5
96,4,2,3,4,2,3,4,1
97,4,3,1,4,2,4,3,1
98,1,5,4,3,1,2,3,4
99,4,4,2,4,2,4,4,1
100,1,5,4,2,1,2,2,3
101,4,2,4,4,2,3,2,2
102,3,3,1,2,2,2,2,9
103,4,1,1,4,2,3,4,2
104,1,5,4,5,1,2,3,3
105,4,4,2,2,2,2,2,1
106,4,1,3,4,1,3,4,2
107,3,5,4,3,2,2,3,3
108,4,2,1,3,2,2,2,4
109,4,4,2,2,2,1,2,1
110,1,5,4,3,1,2,2,4
111,1,5,4,4,2,2,2,3
112,4,4,2,3,2,2,3,1
113,3,5,4,9,2,2,4,4
114,4,5,4,2,1,2,2,3
115,4,4,4,4,1,4,4,1
116,1,5,4,4,1,3,4,5
117,4,3,2,2,2,2,2,2
118,4,4,2,3,2,2,3,1
119,2,5,4,2,1,2,2,3
120,4,1,1,2,2,1,1,3
121,5,5,1,2,1,1,2,2
122,4,1,1,2,1,2,2,2
123,4,2,2,2,2,2,2,1
124,4,2,1,1,1,1,1,2
125,4,1,4,4,2,4,4,2
126,4,1,1,4,2,4,4,2
127,4,1,1,1,1,4,4,2
128,3,5,4,3,1,2,2,4
129,3,5,4,2,2,2,1,3
130,3,5,4,3,1,2,2,4
131,3,5,4,4,1,3,2,4
132,4,4,2,4,2,4,4,1
133,4,3,3,4,2,4,2,1
134,4,2,1,2,2,1,2,3
135,4,1,1,2,3,5,5,3
136,4,4,2,2,2,2,2,2
137,4,1,3,4,2,4,4,1
138,4,3,1,4,2,4,4,1
139,4,1,1,4,2,4,2,2
140,1,5,4,3,1,2,2,3
142,4,1,1,3,1,2,3,3
143,4,4,2,4,2,4,4,1
144,4,4,2,4,2,3,4,1
145,1,5,4,3,1,2,3,3
146,1,5,4,3,1,2,2,4
147,4,3,3,3,2,2,3,1
149,3,5,4,3,2,2,2,3
150,4,3,3,4,2,3,2,1
151,4,1,4,4,2,3,2,2
152,4,1,1,1,2,1,1,3
153,4,1,3,4,1,4,4,2
154,4,1,1,4,2,4,3,2
155,4,1,3,4,2,4,4,2
156,4,1,3,2,2,3,3,2
157,4,3,1,4,2,4,4,1
158,4,3,3,4,2,2,4,1
159,1,5,4,4,1,2,3,5
160,1,5,4,4,1,3,1,4
161,4,2,1,4,2,4,4,2
162,4,4,2,5,1,2,2,1
163,3,5,4,4,1,2,2,4
164,3,5,4,3,1,2,1,3
165,3,5,4,2,2,2,2,3
166,3,5,4,3,1,2,2,5
167,4,1,1,4,2,3,4,2
168,1,5,4,4,2,4,4,4
169,4,4,2,2,2,2,2,1
170,4,1,4,4,2,3,4,2
171,4,1,1,4,2,4,4,2
172,4,2,1,3,1,3,4,2
173,4,4,2,2,2,1,2,1
174,4,1,3,4,2,4,4,2
175,4,3,2,3,2,4,3,1
176,4,2,4,4,2,4,1,2
177,4,4,2,4,2,4,2,1
178,3,5,4,3,2,2,1,4
179,3,5,4,4,2,4,4,3
180,4,2,4,4,2,4,3,2
181,1,5,4,4,2,3,4,4
182,1,5,4,3,1,2,3,3
183,1,5,3,4,2,2,1,4
184,1,5,4,4,1,4,4,5
185,3,5,4,2,2,2,2,3
186,3,5,4,3,2,2,2,3
187,4,2,1,2,2,2,2,3
188,4,1,1,2,2,3,2,3
189,3,5,4,4,2,4,4,2
190,1,5,4,3,1,2,2,4
191,1,5,4,3,2,2,2,4
192,1,5,4,4,1,4,4,4
193,1,5,4,3,1,2,2,3
194,4,1,1,4,2,3,4,2
195,1,5,4,2,1,2,2,3
196,1,5,4,4,1,2,2,4
197,3,5,4,3,1,2,2,3
198,4,4,2,2,2,2,2,1
199,4,3,1,4,2,4,4,2
200,3,5,4,2,1,1,2,3
201,3,5,4,2,2,1,2,3
202,4,1,4,4,2,3,4,3
203,4,1,4,3,2,3,2,2
204,1,5,4,4,2,2,3,5
205,4,2,3,4,2,3,4,1
206,4,3,1,4,2,4,3,1
207,1,5,4,3,1,2,3,4
208,4,4,2,4,2,4,4,1
209,1,5,4,2,1,2,2,3
210,4,2,4,4,2,3,2,2
211,4,3,1,2,2,2,2,2
212,4,1,1,4,2,3,4,2
213,1,5,4,5,1,2,3,3
214,4,4,2,2,2,2,2,1
215,4,1,3,4,1,3,4,2
216,3,5,4,3,2,2,3,3
217,4,2,1,3,2,2,2,4
218,4,4,2,2,2,1,2,1
219,1,5,4,3,1,2,2,4
220,1,5,4,4,2,2,2,3
221,4,4,2,3,2,2,3,1
222,3,5,4,9,2,2,4,4
223,4,5,4,2,1,2,2,3
224,4,4,4,4,1,4,4,1
225,1,5,4,4,1,3,4,5
226,4,3,2,2,2,2,2,2
227,4,4,2,3,2,2,3,1
228,2,5,4,2,1,2,2,3
229,4,1,1,2,2,1,1,3
230,5,5,1,2,1,1,2,2
231,4,1,1,2,1,2,2,2
232,4,2,2,2,2,2,2,1
233,4,2,1,1,1,1,1,2
234,4,1,4,4,2,4,4,2
235,4,1,1,4,2,4,4,2
236,4,1,1,1,1,4,4,2
237,3,5,4,3,1,2,2,4
238,3,5,4,2,2,2,1,3
239,3,5,4,3,1,2,2,4
240,3,5,4,4,1,3,2,4
241,4,4,2,4,2,4,4,1
242,4,3,3,4,2,4,2,1
243,4,2,1,2,2,1,2,3
244,4,1,1,2,3,5,5,3
245,4,4,2,2,2,2,2,2
246,4,1,3,4,2,4,4,1
247,4,3,1,4,2,4,4,1
248,4,1,1,4,2,4,2,2
249,1,5,4,3,1,2,2,3
250,4,1,1,3,1,2,3,3
251,4,4,2,4,2,4,4,1
252,4,4,2,4,2,3,4,1
253,1,5,4,3,1,2,3,3
254,1,5,4,3,1,2,2,4
255,4,3,3,3,2,2,3,1
256,3,5,4,3,2,2,2,3
257,4,3,3,4,2,3,2,1
258,4,1,4,4,2,3,2,2
259,4,1,1,1,2,1,1,3
260,4,1,3,4,1,4,4,2
261,4,1,1,4,2,4,3,2
262,4,1,3,4,2,4,4,2
263,4,1,3,2,2,3,3,2
264,4,3,1,4,2,4,4,1
265,4,3,3,4,2,2,4,1
266,1,5,4,4,1,2,3,5
267,1,5,4,4,1,3,1,4
268,4,2,1,4,2,4,4,2
269,4,4,2,5,1,2,2,1
270,3,5,4,4,1,2,2,4
271,3,5,4,3,1,2,1,3
272,3,5,4,2,2,2,2,3
273,3,5,4,3,1,2,2,4
274,4,1,1,4,2,3,4,2
275,1,5,4,4,2,4,4,4
276,4,4,2,2,2,2,2,1
277,4,1,4,4,2,3,4,2
278,4,1,1,4,2,4,4,2
279,4,2,1,3,1,3,4,2
280,4,4,2,2,2,1,2,1
281,4,1,3,4,2,4,4,2
282,4,3,2,3,2,4,3,1
283,4,2,4,4,2,4,1,2
284,4,4,2,4,2,4,2,1
285,3,5,4,3,2,2,1,4
286,3,5,4,4,2,4,4,3
287,4,2,4,4,2,4,3,2
288,1,5,4,4,2,3,4,4
289,1,5,4,3,1,2,3,3
290,1,5,3,4,2,2,1,4
291,1,5,4,4,1,4,4,5
292,3,5,4,2,2,2,2,3
293,3,5,4,3,2,2,2,3
294,4,2,1,2,2,2,2,3
295,4,1,1,2,2,3,2,3
296,3,5,4,4,2,4,4,4
297,1,5,4,3,1,2,2,4
298,1,5,4,3,2,2,2,4
299,1,5,4,4,1,4,4,4
300,1,5,4,3,1,2,2,3
301,4,1,1,4,2,3,4,2
302,1,5,4,2,1,2,2,3
303,1,5,4,4,1,2,2,4
304,3,5,4,3,1,2,2,3
305,4,4,2,2,2,2,2,1
306,4,3,1,4,2,4,4,2
